                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.7537,                 4.9395,                 1.9608,                      0,                      0,                      0,                      0,                 2.7006,                 6.0389,                 2.3359,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                  1.775,                 4.9524,                 1.8968,                      0,                      0,                      0,                      0,                 2.6629,                 6.0337,                 2.3202,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.3565,                 4.8064,                 1.6181,                      0,                      0,                      0,                      0,                 2.6629,                 6.0337,                 2.3202,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.3682,                 4.7196,                 1.7725,                      0,                      0,                      0,                      0,                 2.6238,                 5.9813,                 2.3198,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.8837,                 5.0405,                 1.9908,                      0,                      0,                      0,                      0,                 2.6238,                 5.9813,                 2.3198,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                   1.68,                 4.9755,                 1.7477,                      0,                      0,                      0,                      0,                 2.5703,                 5.9227,                 2.3162,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.9342,                 5.0033,                 1.8941,                      0,                      0,                      0,                      0,                 2.5703,                 5.9227,                 2.3162,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.5326,                 4.8063,                 1.7442,                      0,                      0,                      0,                      0,                 2.5479,                 5.9037,                 2.3097,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.2285,                 4.7835,                 1.5495,                      0,                      0,                      0,                      0,                 2.5479,                 5.9037,                 2.3097,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.4294,                  4.872,                 1.7086,                      0,                      0,                      0,                      0,                 2.5266,                 5.8666,                 2.2999,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.4207,                 4.7714,                 1.7539,                      0,                      0,                      0,                      0,                 2.5266,                 5.8666,                 2.2999,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.2749,                 4.6879,                 1.5022,                      0,                      0,                      0,                      0,                  2.522,                 5.8787,                 2.2675,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.3062,                 4.8353,                 1.7313,                      0,                      0,                      0,                      0,                  2.522,                 5.8787,                 2.2675,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.4189,                 4.7769,                 1.6092,                      0,                      0,                      0,                      0,                 2.5452,                 5.8931,                 2.2527,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.6146,                 4.8065,                 1.8683,                      0,                      0,                      0,                      0,                 2.5452,                 5.8931,                 2.2527,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.5922,                 4.9377,                 1.6099,                      0,                      0,                      0,                      0,                 2.5778,                 5.9088,                 2.2521,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.7042,                 4.9219,                 1.9058,                      0,                      0,                      0,                      0,                 2.5778,                 5.9088,                 2.2521,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.5595,                 4.7405,                 1.8276,                      0,                      0,                      0,                      0,                 2.5778,                 5.9088,                 2.2521,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.4535,                 4.6572,                 1.7179,                      0,                      0,                      0,                      0,                 2.6189,                  5.931,                 2.2611,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.2524,                 4.9183,                 1.5865,                      0,                      0,                      0,                      0,                 2.6189,                  5.931,                 2.2611,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.3728,                 4.6615,                 1.7397,                      0,                      0,                      0,                      0,                 2.6189,                  5.931,                 2.2611,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.4102,                 4.6832,                 1.7391,                      0,                      0,                      0,                      0,                 2.6185,                 5.9167,                 2.2572,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.6611,                 4.9388,                 1.8004,                      0,                      0,                      0,                      0,                 2.6185,                 5.9167,                 2.2572,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3115,                  4.622,                 1.5521,                      0,                      0,                      0,                      0,                 2.6185,                 5.9167,                 2.2572,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.4744,                 4.7156,                 1.6451,                      0,                      0,                      0,                      0,                 2.5754,                 5.9066,                 2.2568,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.4837,                 4.7211,                 1.7684,                      0,                      0,                      0,                      0,                 2.5754,                 5.9066,                 2.2568,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.5995,                 4.7622,                  1.794,                      0,                      0,                      0,                      0,                 2.5754,                 5.9066,                 2.2568,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.4284,                 4.7492,                 1.6771,                      0,                      0,                      0,                      0,                 2.6004,                 5.9432,                 2.2732,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.4485,                 4.6595,                 1.6364,                      0,                      0,                      0,                      0,                 2.6004,                 5.9432,                 2.2732,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                  1.225,                 4.4783,                 1.6283,                      0,                      0,                      0,                      0,                 2.6004,                 5.9432,                 2.2732,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 2.0042,                 5.1307,                 2.0045,                      0,                      0,                      0,                      0,                 2.6058,                 5.9571,                 2.2964,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.2703,                 4.5099,                 1.4953,                      0,                      0,                      0,                      0,                 2.6058,                 5.9571,                 2.2964,             2.7222e-05,             2.7222e-05,             2.7222e-05
